full_text,clean_text,tokens,normalized_tokens,filtered_tokens,stemmed_tokens,final_text,sentiment
@husherX_ So Low that air quality is good so worth it,so low that air quality is good so worth it,"['so', 'low', 'that', 'air', 'quality', 'is', 'good', 'so', 'worth', 'it']","['so', 'low', 'that', 'air', 'quality', 'is', 'good', 'so', 'worth', 'it']","['low', 'air', 'quality', 'good', 'worth']","['low', 'air', 'quality', 'good', 'worth']",low air quality good worth,positive
@GovKathyHochul U r making air quality worse and temperatures hotter and unbearable in NYC by pausing Congestion Pricing. #CongestionPricingNow,u r making air quality worse and temperatures hotter and unbearable in nyc by pausing congestion pricing,"['u', 'r', 'making', 'air', 'quality', 'worse', 'and', 'temperatures', 'hotter', 'and', 'unbearable', 'in', 'nyc', 'by', 'pausing', 'congestion', 'pricing']","['u', 'r', 'making', 'air', 'quality', 'worse', 'and', 'temperatures', 'hotter', 'and', 'unbearable', 'in', 'nyc', 'by', 'pausing', 'congestion', 'pricing']","['u', 'r', 'making', 'air', 'quality', 'worse', 'temperatures', 'hotter', 'unbearable', 'nyc', 'pausing', 'congestion', 'pricing']","['u', 'r', 'making', 'air', 'quality', 'worse', 'temperatures', 'hotter', 'unbearable', 'nyc', 'pausing', 'congestion', 'pricing']",u r making air quality worse temperatures hotter unbearable nyc pausing congestion pricing,negative
#AirQuality @CityofBrooks is Moderate Risk. No need to modify your outdoor activities unless you experience symptoms. #Brooks #CountyofNewell https://t.co/vcNGn0iZ2E https://t.co/HSbpAvvlQu;;;;;;;,is moderate risk no need to modify your outdoor activities unless you experience symptoms,"['is', 'moderate', 'risk', 'no', 'need', 'to', 'modify', 'your', 'outdoor', 'activities', 'unless', 'you', 'experience', 'symptoms']","['is', 'moderate', 'risk', 'no', 'need', 'to', 'modify', 'your', 'outdoor', 'activities', 'unless', 'you', 'experience', 'symptoms']","['moderate', 'risk', 'modify', 'outdoor', 'activities', 'unless', 'experience', 'symptoms']","['moderate', 'risk', 'modify', 'outdoor', 'activities', 'unless', 'experience', 'symptoms']",moderate risk modify outdoor activities unless experience symptoms,negative
The exhausting heat across the country and wildfires combine to ruin air quality https://t.co/PCpAFtvdaK,the exhausting heat across the country and wildfires combine to ruin air quality,"['the', 'exhausting', 'heat', 'across', 'the', 'country', 'and', 'wildfires', 'combine', 'to', 'ruin', 'air', 'quality']","['the', 'exhausting', 'heat', 'across', 'the', 'country', 'and', 'wildfires', 'combine', 'to', 'ruin', 'air', 'quality']","['exhausting', 'heat', 'across', 'country', 'wildfires', 'combine', 'ruin', 'air', 'quality']","['exhausting', 'heat', 'across', 'country', 'wildfires', 'combine', 'ruin', 'air', 'quality']",exhausting heat across country wildfires combine ruin air quality,negative
Hope y all have been able to stay cool and enjoy some time celebrating this past weekend! This #July4th we looked at the #PurpleAir real-time air quality map to see how much the #WestSGV 's #AirQuality was impacted by celebrations. See results below to learn more! https://t.co/UvsFDgjozX,hope y all have been able to stay cool and enjoy some time celebrating this past weekend this we looked at the realtime air quality map to see how much the s was impacted by celebrations see results below to learn more,"['hope', 'y', 'all', 'have', 'been', 'able', 'to', 'stay', 'cool', 'and', 'enjoy', 'some', 'time', 'celebrating', 'this', 'past', 'weekend', 'this', 'we', 'looked', 'at', 'the', 'realtime', 'air', 'quality', 'map', 'to', 'see', 'how', 'much', 'the', 's', 'was', 'impacted', 'by', 'celebrations', 'see', 'results', 'below', 'to', 'learn', 'more']","['hope', 'y', 'all', 'have', 'been', 'able', 'to', 'stay', 'cool', 'and', 'enjoy', 'some', 'time', 'celebrating', 'this', 'past', 'weekend', 'this', 'we', 'looked', 'at', 'the', 'realtime', 'air', 'quality', 'map', 'to', 'see', 'how', 'much', 'the', 's', 'was', 'impacted', 'by', 'celebrations', 'see', 'results', 'below', 'to', 'learn', 'more']","['hope', 'able', 'stay', 'cool', 'enjoy', 'celebrating', 'past', 'weekend', 'looked', 'realtime', 'air', 'quality', 'map', 'much', 'impacted', 'celebrations', 'results', 'learn']","['hope', 'able', 'stay', 'cool', 'enjoy', 'celebrating', 'past', 'weekend', 'looked', 'realtime', 'air', 'quality', 'map', 'much', 'impacted', 'celebrations', 'results', 'learn']",hope able stay cool enjoy celebrating past weekend looked realtime air quality map much impacted celebrations results learn,positive
Portland PM2.5 AQI is 31 as of 07/09/24 at 02:00PM. Air quality is good.,portland pm aqi is as of at pm air quality is good,"['portland', 'pm', 'aqi', 'is', 'as', 'of', 'at', 'pm', 'air', 'quality', 'is', 'good']","['portland', 'pm', 'aqi', 'is', 'as', 'of', 'at', 'pm', 'air', 'quality', 'is', 'good']","['portland', 'aqi', 'air', 'quality', 'good']","['portland', 'aqi', 'air', 'quality', 'good']",portland aqi air quality good,positive
@DemDeanna Same here in NE NJ. 5 or 6 straight days here of over 90 humid and BAD AIR QUALITY! No break until maybe Thursday with an early AM chance of rain. Then back to the 90s. Leaving lots of food and water out for the outdoor critters.,same here in ne nj or straight days here of over humid and bad air quality no break until maybe thursday with an early am chance of rain then back to the s leaving lots of food and water out for the outdoor critters,"['same', 'here', 'in', 'ne', 'nj', 'or', 'straight', 'days', 'here', 'of', 'over', 'humid', 'and', 'bad', 'air', 'quality', 'no', 'break', 'until', 'maybe', 'thursday', 'with', 'an', 'early', 'am', 'chance', 'of', 'rain', 'then', 'back', 'to', 'the', 's', 'leaving', 'lots', 'of', 'food', 'and', 'water', 'out', 'for', 'the', 'outdoor', 'critters']","['same', 'here', 'in', 'ne', 'nj', 'or', 'straight', 'days', 'here', 'of', 'over', 'humid', 'and', 'bad', 'air', 'quality', 'no', 'break', 'until', 'maybe', 'thursday', 'with', 'an', 'early', 'am', 'chance', 'of', 'rain', 'then', 'back', 'to', 'the', 's', 'leaving', 'lots', 'of', 'food', 'and', 'water', 'out', 'for', 'the', 'outdoor', 'critters']","['ne', 'nj', 'straight', 'days', 'humid', 'bad', 'air', 'quality', 'break', 'maybe', 'thursday', 'early', 'chance', 'rain', 'back', 'leaving', 'lots', 'food', 'water', 'outdoor', 'critters']","['ne', 'nj', 'straight', 'days', 'humid', 'bad', 'air', 'quality', 'break', 'maybe', 'thursday', 'early', 'chance', 'rain', 'back', 'leaving', 'lots', 'food', 'water', 'outdoor', 'critters']",ne nj straight days humid bad air quality break maybe thursday early chance rain back leaving lots food water outdoor critters,negative
@ProHealth4MyKid @luckytran @ChrisCuomo @ashishkjha @FarUVtech Carbon Monoxide detectors are mandatory by state. We use CO2 monitors to measure the air quality. Why isn t #indoorairquality mandatory in all public essential services &amp,carbon monoxide detectors are mandatory by state we use co monitors to measure the air quality why isn t mandatory in all public essential services amp,"['carbon', 'monoxide', 'detectors', 'are', 'mandatory', 'by', 'state', 'we', 'use', 'co', 'monitors', 'to', 'measure', 'the', 'air', 'quality', 'why', 'isn', 't', 'mandatory', 'in', 'all', 'public', 'essential', 'services', 'amp']","['carbon', 'monoxide', 'detectors', 'are', 'mandatory', 'by', 'state', 'we', 'use', 'co', 'monitors', 'to', 'measure', 'the', 'air', 'quality', 'why', 'isn', 't', 'mandatory', 'in', 'all', 'public', 'essential', 'services', 'amp']","['carbon', 'monoxide', 'detectors', 'mandatory', 'state', 'use', 'co', 'monitors', 'measure', 'air', 'quality', 'mandatory', 'public', 'essential', 'services']","['carbon', 'monoxide', 'detectors', 'mandatory', 'state', 'use', 'co', 'monitors', 'measure', 'air', 'quality', 'mandatory', 'public', 'essential', 'services']",carbon monoxide detectors mandatory state use co monitors measure air quality mandatory public essential services,positive
@jason61987 The air quality is horrible at the base also. You can barely see the mountains due to the inversion layer.,the air quality is horrible at the base also you can barely see the mountains due to the inversion layer,"['the', 'air', 'quality', 'is', 'horrible', 'at', 'the', 'base', 'also', 'you', 'can', 'barely', 'see', 'the', 'mountains', 'due', 'to', 'the', 'inversion', 'layer']","['the', 'air', 'quality', 'is', 'horrible', 'at', 'the', 'base', 'also', 'you', 'can', 'barely', 'see', 'the', 'mountains', 'due', 'to', 'the', 'inversion', 'layer']","['air', 'quality', 'horrible', 'base', 'barely', 'mountains', 'inversion', 'layer']","['air', 'quality', 'horrible', 'base', 'barely', 'mountains', 'inversion', 'layer']",air quality horrible base barely mountains inversion layer,negative
We have been upgraded to an excessive heat warning for parts of our region and the Code Orange air quality alert continues. Many areas feel-like temps are in the 100s and it is expected to be even hotter on Wednesday. @MRotellaWx has the forecast. https://t.co/y7FRkAAnmN,we have been upgraded to an excessive heat warning for parts of our region and the code orange air quality alert continues many areas feellike temps are in the s and it is expected to be even hotter on wednesday has the forecast,"['we', 'have', 'been', 'upgraded', 'to', 'an', 'excessive', 'heat', 'warning', 'for', 'parts', 'of', 'our', 'region', 'and', 'the', 'code', 'orange', 'air', 'quality', 'alert', 'continues', 'many', 'areas', 'feellike', 'temps', 'are', 'in', 'the', 's', 'and', 'it', 'is', 'expected', 'to', 'be', 'even', 'hotter', 'on', 'wednesday', 'has', 'the', 'forecast']","['we', 'have', 'been', 'upgraded', 'to', 'an', 'excessive', 'heat', 'warning', 'for', 'parts', 'of', 'our', 'region', 'and', 'the', 'code', 'orange', 'air', 'quality', 'alert', 'continues', 'many', 'areas', 'feellike', 'temps', 'are', 'in', 'the', 's', 'and', 'it', 'is', 'expected', 'to', 'be', 'even', 'hotter', 'on', 'wednesday', 'has', 'the', 'forecast']","['upgraded', 'excessive', 'heat', 'warning', 'parts', 'region', 'code', 'orange', 'air', 'quality', 'alert', 'continues', 'areas', 'feellike', 'temps', 'expected', 'even', 'hotter', 'wednesday', 'forecast']","['upgraded', 'excessive', 'heat', 'warning', 'parts', 'region', 'code', 'orange', 'air', 'quality', 'alert', 'continues', 'areas', 'feellike', 'temps', 'expected', 'even', 'hotter', 'wednesday', 'forecast']",upgraded excessive heat warning parts region code orange air quality alert continues areas feellike temps expected even hotter wednesday forecast,negative
Air Quality Alert issued July 9 at 4:10PM MDT by NWS Denver CO https://t.co/F9TH0cd0e6 #cowx,air quality alert issued july at pm mdt by nws denver co,"['air', 'quality', 'alert', 'issued', 'july', 'at', 'pm', 'mdt', 'by', 'nws', 'denver', 'co']","['air', 'quality', 'alert', 'issued', 'july', 'at', 'pm', 'mdt', 'by', 'nws', 'denver', 'co']","['air', 'quality', 'alert', 'issued', 'july', 'mdt', 'nws', 'denver', 'co']","['air', 'quality', 'alert', 'issued', 'july', 'mdt', 'nws', 'denver', 'co']",air quality alert issued july mdt nws denver co,positive
More information on Washington's Smoke Blog: Washington Smoke Information: Air Quality Alert Issued for Chelan County and Methow Valley (https://t.co/PpOZVOzYd1),more information on washingtons smoke blog washington smoke information air quality alert issued for chelan county and methow valley,"['more', 'information', 'on', 'washingtons', 'smoke', 'blog', 'washington', 'smoke', 'information', 'air', 'quality', 'alert', 'issued', 'for', 'chelan', 'county', 'and', 'methow', 'valley']","['more', 'information', 'on', 'washingtons', 'smoke', 'blog', 'washington', 'smoke', 'information', 'air', 'quality', 'alert', 'issued', 'for', 'chelan', 'county', 'and', 'methow', 'valley']","['information', 'washingtons', 'smoke', 'blog', 'washington', 'smoke', 'information', 'air', 'quality', 'alert', 'issued', 'chelan', 'county', 'methow', 'valley']","['information', 'washingtons', 'smoke', 'blog', 'washington', 'smoke', 'information', 'air', 'quality', 'alert', 'issued', 'chelan', 'county', 'methow', 'valley']",information washingtons smoke blog washington smoke information air quality alert issued chelan county methow valley,positive
Wildfire smoke season is here.️We just issued our first AIR QUALITY ALERT for 2024 for Chelan County and parts of Methow Valley due to the Pioneer and other fires. Air pollution (PM2.5) may be Unhealthy &amp,wildfire smoke season is herewe just issued our first air quality alert for for chelan county and parts of methow valley due to the pioneer and other fires air pollution pm may be unhealthy amp,"['wildfire', 'smoke', 'season', 'is', 'herewe', 'just', 'issued', 'our', 'first', 'air', 'quality', 'alert', 'for', 'for', 'chelan', 'county', 'and', 'parts', 'of', 'methow', 'valley', 'due', 'to', 'the', 'pioneer', 'and', 'other', 'fires', 'air', 'pollution', 'pm', 'may', 'be', 'unhealthy', 'amp']","['wildfire', 'smoke', 'season', 'is', 'herewe', 'just', 'issued', 'our', 'first', 'air', 'quality', 'alert', 'for', 'for', 'chelan', 'county', 'and', 'parts', 'of', 'methow', 'valley', 'due', 'to', 'the', 'pioneer', 'and', 'other', 'fires', 'air', 'pollution', 'pm', 'may', 'be', 'unhealthy', 'amp']","['wildfire', 'smoke', 'season', 'herewe', 'issued', 'air', 'quality', 'alert', 'chelan', 'county', 'parts', 'methow', 'valley', 'pioneer', 'fires', 'air', 'pollution', 'unhealthy']","['wildfire', 'smoke', 'season', 'herewe', 'issued', 'air', 'quality', 'alert', 'chelan', 'county', 'parts', 'methow', 'valley', 'pioneer', 'fires', 'air', 'pollution', 'unhealthy']",wildfire smoke season herewe issued air quality alert chelan county parts methow valley pioneer fires air pollution unhealthy,negative
Excessive Heat Warnings &amp,excessive heat warnings amp,"['excessive', 'heat', 'warnings', 'amp']","['excessive', 'heat', 'warnings', 'amp']","['excessive', 'heat', 'warnings']","['excessive', 'heat', 'warnings']",excessive heat warnings,negative
City of London launches air quality tool https://t.co/V0owvjG2XT,city of london launches air quality tool,"['city', 'of', 'london', 'launches', 'air', 'quality', 'tool']","['city', 'of', 'london', 'launches', 'air', 'quality', 'tool']","['city', 'london', 'launches', 'air', 'quality', 'tool']","['city', 'london', 'launches', 'air', 'quality', 'tool']",city london launches air quality tool,neutral
NWS Alert&gt,nws alertgt,"['nws', 'alertgt']","['nws', 'alertgt']","['nws', 'alertgt']","['nws', 'alertgt']",nws alertgt,neutral
UCAIR's 2024-25 Grant Cycle is now open! We re on the lookout for creative projects that: Reduce Emissions Address Air Quality in Underserved Areas Educate &amp,ucairs grant cycle is now open we re on the lookout for creative projects that reduce emissions address air quality in underserved areas educate amp,"['ucairs', 'grant', 'cycle', 'is', 'now', 'open', 'we', 're', 'on', 'the', 'lookout', 'for', 'creative', 'projects', 'that', 'reduce', 'emissions', 'address', 'air', 'quality', 'in', 'underserved', 'areas', 'educate', 'amp']","['ucairs', 'grant', 'cycle', 'is', 'now', 'open', 'we', 're', 'on', 'the', 'lookout', 'for', 'creative', 'projects', 'that', 'reduce', 'emissions', 'address', 'air', 'quality', 'in', 'underserved', 'areas', 'educate', 'amp']","['ucairs', 'grant', 'cycle', 'open', 'lookout', 'creative', 'projects', 'reduce', 'emissions', 'address', 'air', 'quality', 'underserved', 'areas', 'educate']","['ucairs', 'grant', 'cycle', 'open', 'lookout', 'creative', 'projects', 'reduce', 'emissions', 'address', 'air', 'quality', 'underserved', 'areas', 'educate']",ucairs grant cycle open lookout creative projects reduce emissions address air quality underserved areas educate,positive
I thought I smelled smoke out there. Ah well. July 9. I guess that's a bit of a reprieve. Smoke from U.S. wildfire and smog creating air quality risk in southern B.C. https://t.co/xyVLcngHrJ via @NorthShoreNews,i thought i smelled smoke out there ah well july i guess thats a bit of a reprieve smoke from us wildfire and smog creating air quality risk in southern bc via,"['i', 'thought', 'i', 'smelled', 'smoke', 'out', 'there', 'ah', 'well', 'july', 'i', 'guess', 'thats', 'a', 'bit', 'of', 'a', 'reprieve', 'smoke', 'from', 'us', 'wildfire', 'and', 'smog', 'creating', 'air', 'quality', 'risk', 'in', 'southern', 'bc', 'via']","['i', 'thought', 'i', 'smelled', 'smoke', 'out', 'there', 'ah', 'well', 'july', 'i', 'guess', 'thats', 'a', 'bit', 'of', 'a', 'reprieve', 'smoke', 'from', 'us', 'wildfire', 'and', 'smog', 'creating', 'air', 'quality', 'risk', 'in', 'southern', 'bc', 'via']","['thought', 'smelled', 'smoke', 'ah', 'july', 'guess', 'thats', 'bit', 'reprieve', 'smoke', 'wildfire', 'smog', 'creating', 'air', 'quality', 'risk', 'southern', 'bc', 'via']","['thought', 'smelled', 'smoke', 'ah', 'july', 'guess', 'thats', 'bit', 'reprieve', 'smoke', 'wildfire', 'smog', 'creating', 'air', 'quality', 'risk', 'southern', 'bc', 'via']",thought smelled smoke ah july guess thats bit reprieve smoke wildfire smog creating air quality risk southern bc via,negative
